numero_interno;ppu;tipo;anio;marca;modelo;numero_motor;vin
4389;PPYY-60;CAMION-ESTANQUE;2021;VOLVO;FMX;D138048818C2E;93KXG10G1ME893404
4392;PSYT-64;CAMION-ESTANQUE;2021;VOLVO;FMX;D138051415C2E;93KXG10G9ME895977
4117;PZST42-9;CAMION-ESTANQUE;2021;VOLVO;FMX;D138054104C2E;93KXG10G1ME898533
7299;PSPC-79;TRACTO CAMION;2021;SCANIA;P450A6X4;8375483;9BSP6X400M3985917
7323;RYRT68-K;TRACTO CAMION;2022;DAF;XF480FTTCCE6;A90332;XLRTTH430NG392448
7344;SGVF31-7;TRACTO CAMION;2023;VOLVO;FM;D138080938C2E;9BVXG20D5PE925363
7357;SKJX49;TRACTO CAMION;2023;SCANIA;P450A6X4;8417533;9BSP6X400P4028448
4364;HLZJ937;CAMION-ESTANQUE;2016;SCANIA;P 310 B C/L 6X4;8269136;9BSP6X400G3880906
8978;PFWY592;CAMION-ESTANQUE;2020;SCANIA;P450B;8360608;9BSP8X400L3970855
91267;RYRT69-8;TRACTO CAMION;2022;DAF;XF480FTTCCE6;A490242;XLRTTH430NG392342
91334;RWHY93;TRACTO CAMION;2022;DAF;XF480FTTCCE6;A484318;XLRTTH430NG3854
91262;RWHY95;TRACTO CAMION;2022;DAF;XF480FTTCCE7;A484555;XLRTTH430NG385746
91341;RWHZ10;TRACTO CAMION;2022;DAF;XF480FTTCCE6;A484210;XLRTTH430NG385331
91185;RTPZ-38-0;TRACTO CAMION;2022;FREIGHTLINER;NEW CASCADIA 116 SLP 6X4;471953S0895555;3AKJHPDV7NSNH4802
91190;SWPT-67;TRACTO CAMION;2023;MACK;AN64TX;MP81338621;1M1AN4HY3NM003403
91216;SWZK-20;TRACTO CAMION;2023;MACK;AN64TX;MP81357257;1M1AN4HY2PM003525
91187;TFSW-81;TRACTO CAMION;2024;MACK;AN64TX;MP81388059;1M1AN4HY5RM004168
91192;TFSW-93;TRACTO CAMION;2024;MACK;AN64TX;MP81386851;1M1AN4HY4RM004176
91189;TFSW-94;TRACTO CAMION;2024;MACK;AN64TX;MP81387901;1M1AN4HY2RM004161
